record-type,attack-v18-attack-id,attack-v19-attack-id,attack-v18-stix-id,attack-v19-stix-id,attack-v18-name,attack-v19-name,attack-v19-parent-attack-id,attack-v18-tactics,attack-v19-tactics,explanation,technique-change-type,tactic-change-type
Existing Technique,T1574.011,T1574.011,attack-pattern--17cc750b-e95b-4d7d-9dde-49e0de24148c,attack-pattern--17cc750b-e95b-4d7d-9dde-49e0de24148c,Hijack Execution Flow: Services Registry Permissions Weakness,Hijack Execution Flow: Services Registry Permissions Weakness,T1574,defense-evasion;persistence;privilege-escalation,stealth;execution,,Remains sub-technique,"Remains TA0005 -> renamed Stealth, and Remains in Additional Tactic(s)"
Existing Technique,T1562,T1685,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529,attack-pattern--bbde9781-60aa-4b8a-a911-895b0c1b3872,Impair Defenses,Disable or Modify Tools,,defense-evasion,defense-impairment,T1562 revoked by T1685; T1562.001 and T1562.006 were also revoked by T1685 and merged into parent T1685,Merged into new technique,Moved to new tactic Defense Impairment
Existing Technique,T1562.007,T1686.001,attack-pattern--77532a55-c283-4cd2-bc5d-2d0b65e9d88c,attack-pattern--ee474564-64be-4b83-a958-53f238f49b01,Impair Defenses: Disable or Modify Cloud Firewall,Disable or Modify System Firewall: Cloud Firewall,T1686,defense-evasion,defense-impairment,,Revoked T1562.007,Moved to new tactic Defense Impairment
Existing Technique,T1562.008,T1685.002,attack-pattern--cacc40da-4c9e-462c-80d5-fd70a178b12d,attack-pattern--34ff60a3-a3f8-42e4-bed0-af9a2cb563d7,Impair Defenses: Disable or Modify Cloud Logs,Disable or Modify Tools: Disable or Modify Cloud Log,T1685,defense-evasion,defense-impairment,,Revoked T1562.008,Moved to new tactic Defense Impairment
Existing Technique,T1562.012,T1685.004,attack-pattern--562e9b64-7239-493d-80f4-2bff900d9054,attack-pattern--23d69d00-80c4-42ff-9dac-dbd0459dad75,Impair Defenses: Disable or Modify Linux Audit System,Disable or Modify Tools: Disable or Modify Linux Audit System Log,T1685,defense-evasion,defense-impairment,,Revoked T1562.012,Moved to new tactic Defense Impairment
Existing Technique,T1562.013,T1686.002,attack-pattern--a0f84e1d-d25c-4dd1-bb26-3c0e68471530,attack-pattern--a29aa77c-a88d-4f19-bab9-7751941b2e2d,Impair Defenses: Disable or Modify Network Device Firewall,Disable or Modify System Firewall: Network Device Firewall,T1686,defense-evasion,defense-impairment,,Revoked T1562.013,Moved to new tactic Defense Impairment
Existing Technique,T1562.004,T1686,attack-pattern--5372c5fe-f424-4def-bcd5-d3a8e770f07b,attack-pattern--eec096b8-c207-43df-b6c1-11523861e452,Impair Defenses: Disable or Modify System Firewall,Disable or Modify System Firewall,,defense-evasion,defense-impairment,,Revoked T1562.004,Moved to new tactic Defense Impairment
Existing Technique,T1562.001,T1685,attack-pattern--ac08589e-ee59-4935-8667-d845e38fe579,attack-pattern--bbde9781-60aa-4b8a-a911-895b0c1b3872,Impair Defenses: Disable or Modify Tools,Disable or Modify Tools,,defense-evasion,defense-impairment,"T1562.001 revoked by T1685, along with T1562 and T1562.006",Merged into new technique,Moved to new tactic Defense Impairment
Existing Technique,T1562.002,T1685.001,attack-pattern--4eb28bed-d11a-4641-9863-c2ac017d910a,attack-pattern--1411e6b8-80a6-4465-9909-54eaa9c67ce0,Impair Defenses: Disable Windows Event Logging,Disable or Modify Tools: Disable or Modify Windows Event Log,T1685,defense-evasion,defense-impairment,,Revoked T1562.002,Moved to new tactic Defense Impairment
Existing Technique,T1562.010,T1689,attack-pattern--824add00-99a1-4b15-9a2d-6c5683b7b497,attack-pattern--30904c16-39f9-41c6-b01a-500eb8878442,Impair Defenses: Downgrade Attack,Downgrade Attack,,defense-evasion,defense-impairment,,Revoked T1562.010,Moved to new tactic Defense Impairment
